,solar,offshore,nearshore
2018-01-01 00:00:00,0.0,0.8170000000000001,0.8150000000000001
2018-01-01 01:00:00,0.0,0.886,0.8310000000000001
2018-01-01 02:00:00,0.0,0.9520000000000001,0.8140000000000001
2018-01-01 03:00:00,0.0,0.975,0.778
2018-01-01 04:00:00,0.0,0.982,0.758
2018-01-01 05:00:00,0.0,0.982,0.786
2018-01-01 06:00:00,0.0,0.98,0.8200000000000001
2018-01-01 07:00:00,0.0,0.969,0.864
2018-01-01 08:00:00,0.0,0.9560000000000001,0.878
2018-01-01 09:00:00,0.028,0.9560000000000001,0.843
2018-01-01 10:00:00,0.117,0.9580000000000001,0.786
2018-01-01 11:00:00,0.215,0.9520000000000001,0.6970000000000001
2018-01-01 12:00:00,0.192,0.926,0.5630000000000001
2018-01-01 13:00:00,0.134,0.875,0.435
2018-01-01 14:00:00,0.045,0.802,0.358
2018-01-01 15:00:00,0.0,0.6990000000000001,0.319
2018-01-01 16:00:00,0.0,0.592,0.332
2018-01-01 17:00:00,0.0,0.494,0.47700000000000004
2018-01-01 18:00:00,0.0,0.429,0.6910000000000001
2018-01-01 19:00:00,0.0,0.379,0.773
2018-01-01 20:00:00,0.0,0.327,0.766
2018-01-01 21:00:00,0.0,0.306,0.723
2018-01-01 22:00:00,0.0,0.341,0.683
2018-01-01 23:00:00,0.0,0.418,0.663
2018-01-02 00:00:00,0.0,0.496,0.677
2018-01-02 01:00:00,0.0,0.5630000000000001,0.681
2018-01-02 02:00:00,0.0,0.659,0.687
2018-01-02 03:00:00,0.0,0.774,0.626
2018-01-02 04:00:00,0.0,0.8220000000000001,0.5660000000000001
2018-01-02 05:00:00,0.0,0.783,0.535
2018-01-02 06:00:00,0.0,0.666,0.485
2018-01-02 07:00:00,0.0,0.602,0.395
2018-01-02 08:00:00,0.0,0.612,0.419
2018-01-02 09:00:00,0.01,0.529,0.428
2018-01-02 10:00:00,0.015,0.395,0.523
2018-01-02 11:00:00,0.047,0.618,0.651
2018-01-02 12:00:00,0.048,0.781,0.804
2018-01-02 13:00:00,0.017,0.852,0.902
2018-01-02 14:00:00,0.004,0.883,0.892
