# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2869.18,0.726048,0.305326,3,11,1,2870.46,357.24,5.82274,-0.776831,0.983801,0.780329,-1.28674,0.264746,0.559486,0.445206
-2869.73,0.981165,0.305326,4,15,0,2870.34,357.213,6.17403,-0.733601,1.00723,0.363517,-0.186376,0.238358,2.45648,0.100962
-2869.64,0.98872,0.305326,2,7,0,2869.89,357.235,6.13962,-0.877916,-0.0268013,0.697453,0.640371,0.255905,2.65164,0.0206738
-2871.14,0.996993,0.305326,3,7,0,2871.8,355.841,6.35827,0.307002,-0.674759,-0.77006,0.88879,-0.855674,1.62009,1.23268
-2870.51,1,0.305326,2,3,0,2871.22,356.188,6.15158,0.245178,0.704979,-1.30898,-0.521523,-0.577882,1.32067,1.23116
-2871.19,0.982386,0.305326,4,15,0,2872.19,357.525,6.52983,-0.821223,0.877327,-1.46343,-0.647017,0.482794,4.89212,-1.74769
-2870.55,0.9941,0.305326,3,7,0,2871.93,357.585,5.87384,0.501567,-0.315635,-2.34476,0.845331,0.53949,0.871815,1.6513
-2871.28,0.970656,0.305326,3,7,0,2873.07,357.195,5.80439,0.949201,-1.16317,-0.711813,1.58221,0.227928,0.79332,2.58283
-2870.49,0.861789,0.305326,3,11,0,2872.64,355.269,6.02988,-0.684779,-0.394165,-0.597287,-2.31641,-1.31434,1.64748,0.407235
-2871.67,0.83903,0.305326,3,9,0,2873.27,358.103,5.60249,0.946338,1.48805,-1.34914,-0.101109,0.954628,0.560549,2.56459
-2871.05,0.955475,0.305326,3,7,0,2873.34,358.05,4.82808,0.716298,0.67395,1.6237,2.02917,0.912288,-0.423158,1.78239
-2870.2,0.999467,0.305326,4,15,0,2871.67,356.225,6.0962,0.0536828,-0.829209,-2.00666,0.910142,-0.548903,1.29438,1.01142
-2870,0.997502,0.305326,4,15,0,2870.75,356.595,5.21633,-0.839658,-1.02736,-0.861162,-0.185777,-0.242466,-3.32393,-1.90566
-2869.23,1,0.305326,2,3,0,2870,356.675,5.5394,-0.718183,0.178139,1.88044,0.428989,-0.184279,-0.879594,0.00883558
-2870.15,0.950559,0.305326,3,15,0,2873.37,358.455,5.79949,-0.638155,2.30576,1.05013,0.0474545,1.23654,0.504523,0.503986
-2869.04,0.99894,0.305326,3,7,0,2870.46,357.363,5.85477,-1.36362,-1.3805,1.19115,-0.427703,0.362999,0.488149,0.246942
-2870.22,0.893119,0.305326,4,15,0,2872.47,355.653,5.38174,0.0729335,-0.0278623,-3.3043,-0.633789,-1.00454,-0.0436639,0.866269
-2871.35,0.986745,0.305326,3,7,0,2871.87,355.857,5.00127,0.922131,0.76224,-0.795456,-0.419695,-0.842203,-0.136825,2.39405
