# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_2.data.R
# init = 2 (Default)
# random
#   seed = 1286197972 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_2.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_2.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2870.06,0.986525,0.404006,4,15,0,2870.65,355.825,5.17254,-0.00863017,-0.339561,0.013183,-1.14704,-0.866452,-0.541577,0.49017
-2870.17,0.92214,0.404006,3,7,0,2873.93,355.444,5.58668,-0.323845,-0.499759,-2.97416,-1.70361,-1.17102,0.0387698,0.566281
-2873.33,0.893722,0.404006,2,3,0,2873.71,355.213,5.84493,1.24857,0.75417,-0.101072,-0.00969658,-1.35776,0.842645,3.48528
-2870.16,0.716529,0.404006,2,7,1,2873.89,356.606,6.02979,0.222656,1.51988,-0.0184358,-2.36486,-0.243615,1.12791,1.23436
-2870.15,0.988777,0.404006,3,7,0,2870.6,356.037,5.02325,-0.430558,0.302944,-0.728167,-0.788573,-0.692735,-1.99192,-1.06635
-2869.57,0.976872,0.404006,3,7,0,2871.73,356.538,5.64863,-0.0570341,-1.53022,-0.252314,1.21642,-0.296656,0.393295,0.886393
-2869.98,0.925703,0.404006,2,7,0,2870.19,356.375,5.7221,0.231441,0.216839,-0.20089,-0.661416,-0.427729,0.625243,1.24551
-2869.12,0.950553,0.404006,3,7,0,2870.55,356.887,5.63423,-0.957303,0.400566,2.1608,0.240583,-0.0138216,-1.01566,-0.0173141
-2869.59,0.99766,0.404006,2,7,0,2869.74,356.173,5.50768,-0.209803,0.162253,-0.0452763,-0.580158,-0.587766,-0.0517889,0.605005
-2869.73,0.940674,0.404006,2,7,0,2872.26,358.062,5.61393,-1.15389,-1.52807,-0.830638,1.41488,0.928634,-2.06769,-0.399975
