# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.305326
# Diagonal elements of inverse mass matrix:
# 1.13052, 0.385089, 0.741755
-2869.18,0.726048,0.305326,3,11,1,2870.46,357.24,5.82274,0.459861,192.581
-2869.73,0.981165,0.305326,4,15,0,2870.34,357.213,6.17403,0.480177,540.351
-2869.64,0.98872,0.305326,2,7,0,2869.89,357.235,6.13962,0.415648,601.682
-2871.14,0.996993,0.305326,3,7,0,2871.8,355.841,6.35827,1.35934,800.098
-2870.51,1,0.305326,2,3,0,2871.22,356.188,6.15158,1.27785,934.465
-2871.19,0.982386,0.305326,4,15,0,2872.19,357.525,6.52983,0.439893,1642.05
-2870.55,0.9941,0.305326,3,7,0,2871.93,357.585,5.87384,1.65131,669.184
-2871.28,0.970656,0.305326,3,7,0,2873.07,357.195,5.80439,2.58364,268.552
-2870.49,0.861789,0.305326,3,11,0,2872.64,355.269,6.02988,0.504202,237.72
-2871.67,0.83903,0.305326,3,9,0,2873.27,358.103,5.60249,2.57626,16.8004
-2871.05,0.955475,0.305326,3,7,0,2873.34,358.05,4.82808,2.04684,674.643
-2870.2,0.999467,0.305326,4,15,0,2871.67,356.225,6.0962,1.05515,733.805
-2870,0.997502,0.305326,4,15,0,2870.75,356.595,5.21633,0.431858,446.64
-2869.23,1,0.305326,2,3,0,2870,356.675,5.5394,0.487637,687.688
-2870.15,0.950559,0.305326,3,15,0,2873.37,358.455,5.79949,0.528266,652.927
