# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_3.data.R
# init = 2 (Default)
# random
#   seed = 1286198000 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_3.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_3.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.361486
# Diagonal elements of inverse mass matrix:
# 1.12195, 0.527609, 0.581203
-2873.52,0.997907,0.361486,4,15,0,2875.5,358.227,3.21753,2.08156,16.6891
-2870.12,0.990615,0.361486,3,7,0,2875.09,358.063,5.88004,0.869216,456.377
-2870.09,0.598059,0.361486,3,11,0,2872.41,358.097,6.01608,0.129952,360.771
-2869.37,0.282991,0.361486,2,5,1,2871.06,358.06,5.89592,0.0836265,409.1
-2869.37,0.000129747,0.361486,2,7,1,2871.03,358.06,5.89592,0.0836265,384.872
-2869.37,0.000179583,0.361486,1,3,1,2873.26,358.06,5.89592,0.0836265,374.475
-2869.37,0.0075197,0.361486,2,7,0,2869.77,358.06,5.89592,0.0836265,369.25
-2869.37,1.38043e-08,0.361486,1,1,0,2869.97,358.06,5.89592,0.0836265,355.367
-2869.1,0.33203,0.361486,1,3,1,2869.88,357.678,5.90063,0.0935777,339.022
-2869.1,1.8465e-05,0.361486,1,1,0,2870.4,357.678,5.90063,0.0935777,358.44
-2868.84,0.250129,0.361486,2,4,1,2871.07,356.891,5.89328,0.0868348,389.046
-2868.84,0.00533988,0.361486,1,3,1,2872.64,356.891,5.89328,0.0868348,339.583
-2868.84,0.0149381,0.361486,1,1,0,2869.26,356.891,5.89328,0.0868348,318.936
-2868.84,0.000300833,0.361486,2,4,1,2871.69,356.891,5.89328,0.0868348,413.021
